STUDENT_ID,STUDENT_FIRST_NAME,STUDENT_SECOND_NAME,PHONE_NUMBER,EMAIL,DATE_OF_BIRTH
1,Thea,Price,612480090,theaprice@fictional_email.com,01/02/1999
2,Bonnie,Cox,485312474,bonniecox@fictional_email.com,05/11/1992
3,Frankie,Young,542060673,frankieyoung@fictional_email.com,04/04/1997
4,Jasmine,Mitchell,517268107,jasminemitchell@fictional_email.com,18/12/1994
5,Charlotte,Murphy,318761699,charlottemurphy@fictional_email.com,28/11/1999
6,Hunter,Wilkinson,822791243,hunterwilkinson@fictional_email.com,03/08/1992
7,Elizabeth,Cook,695071943,elizabethcook@fictional_email.com,24/09/2000
8,Ellie,Wilson,526949977,elliewilson@fictional_email.com,02/02/1997
9,Bella,Ahmed,790078924,bellaahmed@fictional_email.com,29/12/2001
10,Alice,Young,862673274,aliceyoung@fictional_email.com,18/09/1999
11,Isabelle,Carter,909337107,isabellecarter@fictional_email.com,09/06/1999
12,Maya,Begum,610389998,mayabegum@fictional_email.com,25/07/1995
13,Sofia,Khan,496466112,sofiakhan@fictional_email.com,21/08/1998
14,Kai,King,885306294,kaiking@fictional_email.com,28/04/1993
15,Freddie,Adams,661642350,freddieadams@fictional_email.com,14/08/1993
16,Anna,Thomas,963512149,annathomas@fictional_email.com,29/11/1990
17,Brody,Scott,681621683,brodyscott@fictional_email.com,02/06/1994
18,Amber,Wilkinson,211144806,amberwilkinson@fictional_email.com,29/05/2000
19,Emily,Moore,893562295,emilymoore@fictional_email.com,20/06/1993
20,Sonny,Bailey,945213604,sonnybailey@fictional_email.com,20/06/2000
21,Molly,Green,132777763,mollygreen@fictional_email.com,13/11/1990
22,Maryam,Richardson,624032891,maryamrichardson@fictional_email.com,02/02/1997
23,Jessica,Roberts,743258122,jessicaroberts@fictional_email.com,04/08/1998
24,Ronnie,Evans,686907562,ronnieevans@fictional_email.com,01/05/1996
25,Elodie,Morgan,372082517,elodiemorgan@fictional_email.com,23/07/1997
26,Eva,Adams,822706705,evaadams@fictional_email.com,02/03/1990
27,Hannah,Clarke,922565245,hannahclarke@fictional_email.com,25/06/1999
28,Adam,Morgan,840027871,adammorgan@fictional_email.com,14/03/1994
29,Caleb,Morgan,454196834,calebmorgan@fictional_email.com,30/07/1999
30,David,James,289817429,davidjames@fictional_email.com,05/11/1997
31,James,Harris,939964619,jamesharris@fictional_email.com,21/02/2001
32,Mila,Thomas,952496015,milathomas@fictional_email.com,22/08/1997
33,Oliver,Carter,445866967,olivercarter@fictional_email.com,11/05/1993
34,Luca,Ahmed,756678882,lucaahmed@fictional_email.com,20/04/2001
35,Tommy,Ellis,559971232,tommyellis@fictional_email.com,19/03/1991
36,Lottie,King,653476178,lottieking@fictional_email.com,15/05/1993
37,Rupert,Walker,851108829,rupertwalker@fictional_email.com,12/07/1998
38,James,Allen,473173605,jamesallen@fictional_email.com,30/04/2000
